Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|13/01/2020|Vente|97000,00|16||RUE|1770|DES GRAVES|1000|BOURG-EN-BRESSE|01|53||AZ|476||8|78,03|||||||||1|2|Appartement||92|3|||
|||||||000001|09/01/2020|Vente|215000,00|2||IMP|0140|DU COLOMBIER|1250|TOSSIAT|01|422||D|1121||||||||||||0|1|Maison||93|4|S||790
|||||||000001|09/01/2020|Vente|215000,00||||B044|AU COLOMBIER|1250|TOSSIAT|01|422||D|1167||||||||||||0||||||P||665
|||||||000001|13/01/2020|Vente|179210,00|102||IMP|0080|DE LA CULOTTE|1310|MONTRACOL|01|264||AA|218||||||||||||0|1|Maison||90|5|AG|JARD|1350
|||||||000001|13/01/2020|Vente|179210,00|102||IMP|0080|DE LA CULOTTE|1310|MONTRACOL|01|264||AA|218||||||||||||0|1|Maison||90|5|BS||360
|||||||000001|13/01/2020|Vente|179210,00|102||IMP|0080|DE LA CULOTTE|1310|MONTRACOL|01|264||AA|218||||||||||||0|1|Maison||90|5|S||1430
|||||||000001|13/01/2020|Vente|179210,00||||B048|LE VILLAGE|1310|MONTRACOL|01|264||AA|223||||||||||||0||||||AG|JARD|883
|||||||000001|13/01/2020|Vente|179210,00||||B048|LE VILLAGE|1310|MONTRACOL|01|264||AA|224||||||||||||0||||||AG|JARD|812
|||||||000001|13/01/2020|Vente|179210,00||||B048|LE VILLAGE|1310|MONTRACOL|01|264||AA|268||||||||||||0||||||BS||522
|||||||000001|09/01/2020|Vente|264450,00|5340||IMP|0052|GRAND CHAMP|1310|SAINT-REMY|01|385||A|1120||||||||||||0|1|Maison||111|5|S||1002
|||||||000001|07/01/2020|Vente|96000,00|10|B|ALL|3044|DE LA PETITE REYSSOUZE|1000|BOURG-EN-BRESSE|01|53||BD|227||134||||||||||1|3|Dépendance||0|0|||
|||||||000001|07/01/2020|Vente|96000,00|12||ALL|3044|DE LA PETITE REYSSOUZE|1000|BOURG-EN-BRESSE|01|53||BD|227||20|74,07|28||||||||2|2|Appartement||74|3|||
|||||||000001|08/01/2020|Vente|269000,00|5090|||B032|HAMEAU DES RIPPES|1240|CERTINES|01|69||ZH|56||||||||||||0|1|Maison||287|9|S||1100
|||||||000001|08/01/2020|Vente|269000,00||||B032|HAMEAU DES RIPPES|1240|CERTINES|01|69||ZH|286||||||||||||0||||||S||13
|||||||000001|09/01/2020|Vente|65000,00||||B038|A LA CROIX|1960|SAINT-ANDRE-SUR-VIEUX-JONC|01|336||A|1209||||||||||||0||||||AB||420
|||||||000001|09/01/2020|Vente|600,00||||B001|LES AMBERTHETS|1000|SAINT-DENIS-LES-BOURG|01|344||A|72||||||||||||0||||||BS||2480
